Respondent_id,Program,Batch,Institution,Delivery_mode,Gender,Academic_year,Trainer_effectiveness,Curriculum_relevance,Pace_of_delivery,Support_Mentorship,Platform,Overall_satisfaction,Would_recommend,Open_feedback,Batch_date
STU-01073,Networking Fundamentals,Mar 2025 Batch,Techno India University,Hybrid,Male,3rd Year,4.0,4.0,4.0,3.0,4.0,4,Yes,Session quality varied depending on the trainer.,2025-03-01
STU-01049,Blockchain Basics,Jul 2026 Batch,Techno India University,Online,Female,3rd Year,4.0,3.0,3.0,3.0,3.0,4,Yes,Would like the syllabus to be updated more frequently.,2026-07-01
STU-00205,Java Development,Jul 2026 Batch,Government College of Engineering & Textile Technology,Online,Female,3rd Year,5.0,4.0,5.0,5.0,4.0,5,Yes,"Loved the hands-on projects, they really built my confidence.",2026-07-01
STU-00695,Networking Fundamentals,Mar 2026 Batch,St. Xavier's College Kolkata,Online,Prefer not to say,1st Year,3.0,3.0,2.0,4.0,4.0,3,No,"Average experience, some sessions were better than others.",2026-03-01
STU-01759,Cybersecurity & Ethical Hacking,Mar 2026 Batch,St. Xavier's College Kolkata,Online,Male,3rd Year,4.0,4.0,4.0,4.0,3.0,4,Yes,Faced frequent audio/video issues during classes.,2026-03-01
STU-00285,Networking Fundamentals,Mar 2025 Batch,Government College of Engineering & Textile Technology,Offline,Female,Working Professional,5.0,5.0,5.0,5.0,5.0,5,Yes,"Well-paced sessions and very approachable trainer, learned a lot.",2025-03-01
STU-01867,Machine Learning,Jul 2025 Batch,Government College of Engineering & Textile Technology,Online,Female,4th Year,4.0,5.0,3.0,3.0,2.0,4,No,The portal for assignments was confusing and slow to load.,2025-07-01
STU-01927,Cybersecurity & Ethical Hacking,May 2025 Batch,JIS College of Engineering,Online,Prefer not to say,3rd Year,3.0,3.0,3.0,3.0,2.0,3,Yes,The portal for assignments was confusing and slow to load.,2025-05-01
STU-01887,Advanced Excel & Power BI,Jan 2025 Batch,Government College of Engineering & Textile Technology,Online,Female,3rd Year,4.0,5.0,4.0,4.0,4.0,4,No,"Very satisfied, the mentors were patient and encouraging throughout.",2025-01-01
STU-01725,Internet of Things (IoT),Jul 2026 Batch,JIS College of Engineering,Online,Female,4th Year,3.0,3.0,4.0,4.0,3.0,3,Yes,Session quality varied depending on the trainer.,2026-07-01
STU-00869,App Development (Android),Oct 2025 Batch,JIS College of Engineering,Online,Female,Graduate,4.0,3.0,2.0,3.0,3.0,3,No,"Wish there was more time per topic, felt rushed throughout.",2025-10-01
STU-01892,Cloud Computing (AWS),May 2025 Batch,Independent / Working Professional,Online,Male,3rd Year,3.0,4.0,3.0,4.0,4.0,4,Yes,Explanations were sometimes too fast to follow properly.,2025-05-01
STU-01783,Machine Learning,May 2025 Batch,Techno India University,Online,Male,3rd Year,4.0,3.0,2.0,4.0,4.0,4,No,"The sessions moved too fast, hard to keep up with the pace.",2025-05-01
STU-01704,Networking Fundamentals,Apr 2025 Batch,St. Xavier's College Kolkata,Online,Male,3rd Year,4.0,4.0,5.0,5.0,5.0,4,No,One of the best training experiences I have had so far.,2025-04-01
STU-00803,Advanced Excel & Power BI,May 2026 Batch,Techno India University,Online,Female,Working Professional,5.0,5.0,5.0,5.0,5.0,5,No,"Very satisfied, the mentors were patient and encouraging throughout.",2026-05-01
STU-01303,Cybersecurity & Ethical Hacking,Aug 2026 Batch,Maulana Azad College,Offline,Female,Working Professional,5.0,5.0,4.0,5.0,4.0,5,Yes,The curriculum was well structured and relevant to current industry needs.,2026-08-01
STU-01275,Database Management (SQL),Aug 2026 Batch,St. Xavier's College Kolkata,Hybrid,Male,2nd Year,4.0,3.0,4.0,5.0,4.0,4,No,Session quality varied depending on the trainer.,2026-08-01
STU-01038,Generative AI,Apr 2026 Batch,Government College of Engineering & Textile Technology,Online,Male,1st Year,4.0,4.0,4.0,4.0,4.0,4,Yes,Trainer was knowledgeable and made even tough topics easy to grasp.,2026-04-01
STU-00596,Machine Learning,Mar 2026 Batch,JIS College of Engineering,Online,Female,2nd Year,5.0,4.0,4.0,4.0,4.0,4,Yes,The program content was up to date and industry relevant.,2026-03-01
STU-01913,Advanced Excel & Power BI,Jun 2026 Batch,Techno India University,Hybrid,Female,3rd Year,4.0,3.0,2.0,4.0,3.0,3,No,"Overall okay experience, a few sessions could have been better planned.",2026-06-01
STU-01825,Blockchain Basics,Jul 2026 Batch,Narasingh Choudhuri Autonomous College,Online,Female,2nd Year,3.0,2.0,1.0,3.0,3.0,2,No,"Wish there was more time per topic, felt rushed throughout.",2026-07-01
STU-01029,Networking Fundamentals,Mar 2026 Batch,Government College of Engineering & Textile Technology,Online,Female,Working Professional,4.0,4.0,3.0,5.0,4.0,4,Yes,Struggled to keep up as new topics were introduced too quickly.,2026-03-01
STU-00351,App Development (Android),Jul 2025 Batch,Government College of Engineering & Textile Technology,Offline,Female,1st Year,3.0,4.0,4.0,4.0,4.0,4,Yes,Would appreciate a more engaging teaching style.,2025-07-01
STU-01090,Cybersecurity & Ethical Hacking,Feb 2026 Batch,St. Xavier's College Kolkata,Online,Male,3rd Year,5.0,4.0,4.0,5.0,5.0,5,Yes,"Great mentorship throughout the program, felt supported at every step.",2026-02-01
STU-00003,Digital Marketing,Jan 2025 Batch,Techno India University,Hybrid,Male,2nd Year,4.0,3.0,2.0,4.0,2.0,3,Yes,"Content was okay, though a few topics felt rushed.",2025-01-01
STU-01076,DevOps,Jul 2025 Batch,Techno India University,Online,Female,2nd Year,3.0,3.0,2.0,3.0,2.0,3,Yes,"Reasonably good, though I expected slightly more hands-on practice.",2025-07-01
STU-01505,Data Science,May 2026 Batch,Government College of Engineering & Textile Technology,Hybrid,Female,Working Professional,3.0,3.0,3.0,3.0,2.0,3,No,"Content was okay, though a few topics felt rushed.",2026-05-01
STU-00111,Digital Marketing,Aug 2026 Batch,St. Xavier's College Kolkata,Offline,Female,2nd Year,2.0,3.0,2.0,3.0,2.0,2,Yes,Trainer seemed unprepared in a couple of sessions.,2026-08-01
STU-01063,Advanced Excel & Power BI,Mar 2025 Batch,Maulana Azad College,Online,Male,2nd Year,5.0,5.0,5.0,5.0,5.0,5,Yes,"Enjoyed every module, especially the live project work.",2025-03-01
STU-00109,Cybersecurity & Ethical Hacking,May 2025 Batch,Techno India University,Online,Female,3rd Year,4.0,5.0,4.0,5.0,3.0,4,No,Nothing to add.,2025-05-01
STU-00919,Full Stack Development,Mar 2025 Batch,Government College of Engineering & Textile Technology,Online,Male,Graduate,3.0,4.0,2.0,4.0,4.0,4,No,"Wish there was more time per topic, felt rushed throughout.",2025-03-01
STU-00501,Machine Learning,Sep 2025 Batch,Government College of Engineering & Textile Technology,Hybrid,Male,3rd Year,4.0,4.0,4.0,4.0,3.0,4,Yes,"Average experience, some sessions were better than others.",2025-09-01
STU-00362,Full Stack Development,Jul 2025 Batch,Techno India University,Online,Male,4th Year,2.0,3.0,2.0,3.0,3.0,2,No,"Sessions felt monotonous, needed more interactive teaching.",2025-07-01
STU-01548,Blockchain Basics,Aug 2026 Batch,Techno India University,Hybrid,Male,4th Year,4.0,4.0,4.0,4.0,4.0,4,No,Practical assignments made the concepts much easier to understand.,2026-08-01
STU-01282,Python Programming,Mar 2026 Batch,Maulana Azad College,Online,Female,1st Year,4.0,3.0,2.0,3.0,4.0,3,No,"Wish there was more time per topic, felt rushed throughout.",2026-03-01
STU-01159,Database Management (SQL),Aug 2026 Batch,Maulana Azad College,Hybrid,Female,Graduate,5.0,4.0,4.0,5.0,4.0,5,No,"Really enjoyed the sessions, the trainer kept things engaging.",2026-08-01
STU-01328,Java Development,May 2026 Batch,Techno India University,Online,Female,Working Professional,5.0,5.0,5.0,4.0,5.0,5,Yes,"Clear explanations, useful resources, and prompt doubt-clearing sessions.",2026-05-01
STU-00197,Full Stack Development,Oct 2025 Batch,Neotia University,Online,Female,2nd Year,4.0,3.0,2.0,2.0,3.0,3,Yes,Session quality varied depending on the trainer.,2025-10-01
STU-01818,Cybersecurity & Ethical Hacking,Jul 2025 Batch,Techno India University,Offline,Male,3rd Year,5.0,4.0,4.0,5.0,4.0,4,Yes,One of the best training experiences I have had so far.,2025-07-01
